table_name,row_count,column_count,file_size_mb,null_like_count,null_like_pct,duplicate_count,duplicate_pct
agg_daily_missort_kpi,2000,8,0.163,35,0.219,0,0.0
bridge_trip_consignment,40800,5,3.4,0,0.0,800,1.961
dim_driver,3060,4,0.099,367,2.998,61,1.993
dim_facility_hub,25,6,0.001,0,0.0,0,0.0
dim_missort_reason_code,15,3,0.001,0,0.0,0,0.0
dim_parcel,25500,6,1.884,6057,3.959,500,1.961
dim_route_template,306,5,0.021,0,0.0,6,1.961
dim_sort_chute,714,4,0.032,0,0.0,14,1.961
dim_sort_plan_matrix,306,4,0.013,38,3.105,6,1.961
dim_sorting_machine,102,4,0.004,0,0.0,2,1.961
dim_vehicle,5100,7,0.368,875,2.451,100,1.961
fact_camera_vision_diagnostics,102000,6,16.489,0,0.0,2000,1.961
fact_container_manifest_audit,25500,6,2.405,0,0.0,500,1.961
fact_driver_behavior_event,76500,6,7.262,1719,0.375,1500,1.961
fact_fuel_charging_transaction,25500,6,2.246,582,0.38,500,1.961
fact_maintenance_work_order,10200,5,0.48,0,0.0,200,1.961
fact_manual_rework_action,8160,6,0.87,184,0.376,160,1.961
fact_parcel_missort_incident,10200,8,1.248,253,0.31,200,1.961
fact_sorter_scan_event,204000,8,26.118,5075,0.311,4000,1.961
fact_stop_arrival_departure,51000,7,6.219,3060,0.857,1000,1.961
fact_tachograph_compliance,20400,7,1.913,356,0.249,400,1.961
fact_telematics_raw,153000,8,15.015,52751,4.31,3000,1.961
fact_trip_tour_execution,25500,8,2.701,1011,0.496,500,1.961
fact_vehicle_diagnostics_stream,127500,7,10.445,92230,10.334,2500,1.961
