column_count,duplicate_count,duplicate_pct,file_size_mb,null_like_count,null_like_pct,row_count,table_name
8,0,0.0,0.163,35,0.219,2000,agg_daily_missort_kpi
5,800,1.961,3.4,0,0.0,40800,bridge_trip_consignment
4,61,1.993,0.099,367,2.998,3060,dim_driver
6,0,0.0,0.001,0,0.0,25,dim_facility_hub
3,0,0.0,0.001,0,0.0,15,dim_missort_reason_code
6,500,1.961,1.884,6085,3.977,25500,dim_parcel
5,6,1.961,0.021,0,0.0,306,dim_route_template
4,14,1.961,0.032,0,0.0,714,dim_sort_chute
4,6,1.961,0.013,38,3.105,306,dim_sort_plan_matrix
4,2,1.961,0.004,0,0.0,102,dim_sorting_machine
7,100,1.961,0.368,883,2.473,5100,dim_vehicle
6,2000,1.961,16.489,0,0.0,102000,fact_camera_vision_diagnostics
6,500,1.961,2.405,0,0.0,25500,fact_container_manifest_audit
6,1500,1.961,7.262,1719,0.375,76500,fact_driver_behavior_event
6,500,1.961,2.246,582,0.38,25500,fact_fuel_charging_transaction
5,200,1.961,0.48,0,0.0,10200,fact_maintenance_work_order
6,160,1.961,0.87,184,0.376,8160,fact_manual_rework_action
8,200,1.961,1.248,253,0.31,10200,fact_parcel_missort_incident
8,4000,1.961,26.118,5075,0.311,204000,fact_sorter_scan_event
7,1000,1.961,6.219,3060,0.857,51000,fact_stop_arrival_departure
7,400,1.961,1.913,356,0.249,20400,fact_tachograph_compliance
8,3000,1.961,15.015,52751,4.31,153000,fact_telematics_raw
8,500,1.961,2.701,1011,0.496,25500,fact_trip_tour_execution
7,2500,1.961,10.445,92230,10.334,127500,fact_vehicle_diagnostics_stream
